code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CFA TH 399,Stage Management 3: Types & Styles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CFA TH 405,Classical Theatre Through a Contemporary Lens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CFA TH 406,Contemporary Theatre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CFA TH 422,Acting 4: Professional Lifetime Skills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CFA TH 427,Theatre Ensemble 4: Thesis Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA TH 429,Understanding the Camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA TH 430,Professional Theatre Initiative Lab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CFA TH 450,Senior Thesis: Acting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA TH 458,History of Dress 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CFA TH 459,Social Change Through Theatre of the Oppressed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CFA TH 492,Stage Management 4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 493,Production Management 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA TH 517,History of Period Styles 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 552,Technical Production Studio 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 588,Automated Lighting Technology,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 590,Theatre Management,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CFA TH 626,Contemporary Theatre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CFA TH 659,Social Change Through Theatre of the Oppressed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
